spid,sl3bedtime1,sl3bedtime2,sl3bedtime3,sl3morning1,sl3morning2,sl3morning3
10001934,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001935,,,,,,
10001936,,,,,,
10001937,10,0,2:00 PM,10,30,1:00 AM
10001938,,,,,,
10001940,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001942,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001945,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001946,8,0,2:00 PM,5,30,1:00 AM
10001950,10,30,2:00 PM,7,0,1:00 AM
10001956,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001959,11,0,2:00 PM,11,0,1:00 AM
10001962,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001963,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001964,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001965,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001967,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001968,,,,,,
10001970,,,,,,
10001971,,,,,,
10001972,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001979,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001981,,,,,,
10001984,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001986,,,,,,
10001989,1,0,1:00 AM,10,0,1:00 AM
10001990,,,,,,
10001995,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001996,1,0,1:00 AM,5,0,1:00 AM
10001997,7,0,2:00 PM,6,30,1:00 AM
10001998,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10001999,10,0,2:00 PM,5,30,1:00 AM
10002000,,,,,,
10002002,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002004,1,0,1:00 AM,9,30,1:00 AM
10002007,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002008,,,,,,
10002009,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002013,,,,,,
10002015,,,,,,
10002016,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002017,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002018,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002019,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002020,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002021,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002022,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002023,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002024,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002026,,,,,,
10002028,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002029,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002030,,,,,,
10002032,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002034,,,,,,
10002035,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002036,,,,,,
10002037,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002038,10,30,2:00 PM,9,0,1:00 AM
10002040,,,,,,
10002042,11,0,2:00 PM,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10002043,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002045,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002046,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002047,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,8,30,1:00 AM
10002048,,,,,,
10002049,,,,,,
10002053,11,0,2:00 PM,12,0,2:00 PM
10002055,,,,,,
10002056,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002058,,,,,,
10002059,1,0,1:00 AM,4,30,1:00 AM
10002060,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002062,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002063,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002064,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002067,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002068,,,,,,
10002069,9,0,2:00 PM,5,0,1:00 AM
10002071,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002072,12,0,1:00 AM,8,30,1:00 AM
10002075,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002076,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002077,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002078,11,10,2:00 PM,4,50,1:00 AM
10002079,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002080,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002082,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002083,1,0,1:00 AM,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10002085,,,,,,
10002086,,,,,,
10002088,10,0,2:00 PM,5,30,1:00 AM
10002089,11,0,2:00 PM,8,0,1:00 AM
10002092,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002094,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002095,,,,,,
10002097,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002098,,,,,,
10002099,9,0,2:00 PM,6,0,1:00 AM
10002101,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002102,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002103,11,0,2:00 PM,6,0,1:00 AM
10002105,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002108,,,,,,
10002109,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002110,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002111,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002112,,,,,,
10002116,,,,,,
10002117,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002118,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002119,10,0,2:00 PM,7,0,1:00 AM
10002120,,,,,,
10002121,9,30,2:00 PM,9,30,1:00 AM
10002122,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002123,8,0,2:00 PM,5,30,1:00 AM
10002128,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002129,,,,,,
10002130,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002131,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002133,12,0,1:00 AM,6,30,1:00 AM
10002135,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002136,,,,,,
10002137,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002139,,,,,,
10002140,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,9,30,1:00 AM
10002141,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002142,,,,,,
10002143,10,0,2:00 PM,6,0,1:00 AM
10002146,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002147,,,,,,
10002148,,,,,,
10002149,,,,,,
10002151,,,,,,
10002152,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002154,,,,,,
10002156,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002157,,,,,,
10002158,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002162,,,,,,
10002163,,,,,,
10002164,,,,,,
10002166,8,0,2:00 PM,7,0,1:00 AM
10002167,12,0,1:00 AM,9,0,1:00 AM
10002168,6,30,2:00 PM,6,30,1:00 AM
10002170,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002173,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002174,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002177,9,30,2:00 PM,6,30,1:00 AM
10002179,11,30,2:00 PM,5,0,1:00 AM
10002180,9,0,2:00 PM,95 NO USUAL TIME OR DIFFERENT FROM DAY TO DAY,-1 Inapplicable,-1 Inapplicable
10002181,12,0,1:00 AM,6,0,1:00 AM
10002183,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002184,,,,,,
10002185,,,,,,
10002186,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002187,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002188,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002190,11,11,2:00 PM,6,0,1:00 AM
10002191,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002192,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002193,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002195,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002196,,,,,,
10002197,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002198,,,,,,
10002199,12,0,1:00 AM,10,0,1:00 AM
10002200,10,10,2:00 PM,8,30,1:00 AM
10002202,,,,,,
10002203,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002204,,,,,,
10002205,,,,,,
10002208,,,,,,
10002209,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002210,,,,,,
10002212,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002213,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002215,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002216,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002217,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002218,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002220,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002224,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002225,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002227,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002228,,,,,,
10002229,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002230,12,0,1:00 AM,8,30,1:00 AM
10002233,,,,,,
10002234,12,0,1:00 AM,5,45,1:00 AM
10002240,,,,,,
10002243,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002245,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002246,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002247,11,0,2:00 PM,9,0,1:00 AM
10002249,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002251,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002254,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002255,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002256,11,0,2:00 PM,8,0,1:00 AM
10002257,,,,,,
10002259,,,,,,
10002260,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002261,,,,,,
10002263,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002264,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002265,9,30,2:00 PM,7,30,1:00 AM
10002266,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002267,,,,,,
10002268,,,,,,
10002269,,,,,,
10002270,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002272,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002274,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002276,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002277,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002278,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002279,,,,,,
10002280,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002283,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002284,,,,,,
10002286,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002287,,,,,,
10002288,,,,,,
10002289,9,0,2:00 PM,6,30,1:00 AM
10002290,,,,,,
10002291,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002292,,,,,,
10002294,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002295,,,,,,
10002296,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002297,,,,,,
10002298,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002299,,,,,,
10002300,10,30,2:00 PM,7,0,1:00 AM
10002301,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002304,,,,,,
10002305,,,,,,
10002306,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002307,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002309,,,,,,
10002312,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002313,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002314,,,,,,
10002316,10,0,2:00 PM,5,0,1:00 AM
10002317,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002318,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002319,,,,,,
10002320,12,30,1:00 AM,7,0,1:00 AM
10002321,,,,,,
10002322,,,,,,
10002323,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002325,,,,,,
10002328,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002329,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002331,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002332,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002333,8,0,2:00 PM,7,0,1:00 AM
10002334,,,,,,
10002335,,,,,,
10002337,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002343,1,30,1:00 AM,7,30,1:00 AM
10002344,,,,,,
10002346,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002347,12,0,1:00 AM,9,30,1:00 AM
10002348,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002349,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002351,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002352,9,0,2:00 PM,6,0,1:00 AM
10002355,,,,,,
10002358,,,,,,
10002359,,,,,,
10002361,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002362,10,10,2:00 PM,9,9,1:00 AM
10002363,,,,,,
10002364,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002367,12,0,1:00 AM,6,45,1:00 AM
10002370,,,,,,
10002371,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,8,0,1:00 AM
10002372,10,45,2:00 PM,7,30,1:00 AM
10002374,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002376,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002377,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002378,10,30,2:00 PM,7,0,1:00 AM
10002381,,,,,,
10002383,,,,,,
10002385,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002386,10,0,2:00 PM,8,30,1:00 AM
10002387,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002394,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002395,,,,,,
10002397,,,,,,
10002398,,,,,,
10002399,,,,,,
10002400,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002402,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002406,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing,-9 Missing
10002408,,,,,,
10002409,,,,,,
10002410,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002411,10,0,2:00 PM,5,30,1:00 AM
10002412,,,,,,
10002414,,,,,,
10002416,-8 DK,-1 Inapplicable,-1 Inapplicable,9,0,1:00 AM
10002418,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002419,,,,,,
10002420,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002421,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002422,,,,,,
10002423,,,,,,
10002424,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002425,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002426,10,0,2:00 PM,6,0,1:00 AM
10002427,,,,,,
10002428,8,0,2:00 PM,6,30,1:00 AM
10002429,,,,,,
10002431,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002433,,,,,,
10002434,10,0,2:00 PM,6,0,1:00 AM
10002435,11,0,2:00 PM,7,0,1:00 AM
10002436,10,30,2:00 PM,5,0,1:00 AM
10002440,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002443,,,,,,
10002446,,,,,,
10002448,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002450,,,,,,
10002453,11,0,2:00 PM,5,30,1:00 AM
10002454,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002455,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002457,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002459,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002462,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002464,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002465,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002466,10,0,2:00 PM,6,30,1:00 AM
10002467,95 NO USUAL TIME OR DIFFERENT FROM NIGHT TO NIGHT,-1 Inapplicable,-1 Inapplicable,7,0,1:00 AM
10002469,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002470,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002471,11,0,2:00 PM,8,0,1:00 AM
10002472,,,,,,
10002473,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002474,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002476,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002478,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable,-1 Inapplicable
10002480,,,,,,
10002485,,,,,,
10002486,11,30,2:00 PM,8,0,1:00 AM
10002487,12,59,1:00 AM,7,59,1:00 AM
10002488,11,0,2:00 PM,7,30,1:00 AM
10002491,,,,,,
